Image,Latitude,Longitude,Confidence,Top Left,Bottom Left,Bottom Right,Top Right
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,0.9209291338920593,"(5601,1171)","(5601,1235)","(5638,1235)","(5638,1171)"
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,0.8861199021339417,"(805,1912)","(805,1946)","(868,1946)","(868,1912)"
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,0.8816081285476685,"(2331,2434)","(2331,2499)","(2362,2499)","(2362,2434)"
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,0.9068917632102966,"(4660,51)","(4660,123)","(4686,123)","(4686,51)"
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,0.9160193800926208,"(2562,1640)","(2562,1737)","(2622,1737)","(2622,1640)"
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,0.9133858680725098,"(5115,2610)","(5115,2662)","(5206,2662)","(5206,2610)"
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,0.9160535335540771,"(5734,1614)","(5734,1687)","(5795,1687)","(5795,1614)"
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,0.9130351543426514,"(46,2794)","(46,2879)","(93,2879)","(93,2794)"
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,0.9082253575325012,"(5695,1181)","(5695,1284)","(5730,1284)","(5730,1181)"
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,0.8858699202537537,"(4462,2286)","(4462,2382)","(4495,2382)","(4495,2286)"
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,0.9147066473960876,"(3107,322)","(3107,358)","(3190,358)","(3190,322)"
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,0.9202419519424438,"(5337,3366)","(5337,3427)","(5372,3427)","(5372,3366)"
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,0.9089269042015076,"(3242,3897)","(3242,3971)","(3268,3971)","(3268,3897)"
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,0.9123791456222534,"(4434,2260)","(4434,2329)","(4461,2329)","(4461,2260)"
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,0.9068595767021179,"(5640,1232)","(5640,1261)","(5699,1261)","(5699,1232)"
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,0.8865806460380554,"(3197,300)","(3197,366)","(3220,366)","(3220,300)"
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,0.8927263021469116,"(5126,2588)","(5126,2616)","(5178,2616)","(5178,2588)"
JHI_FullSurvey_75m_Flight_01_00322.JPG,58.85315121441667,-137.0986426403889,0.9234620332717896,"(2479,3840)","(2479,3934)","(2544,3934)","(2544,3840)"
JHI_FullSurvey_75m_Flight_01_00322.JPG,58.85315121441667,-137.0986426403889,0.9217090010643005,"(4367,2091)","(4367,2140)","(4476,2140)","(4476,2091)"
JHI_FullSurvey_75m_Flight_01_00322.JPG,58.85315121441667,-137.0986426403889,0.9162666201591492,"(5632,3876)","(5632,3953)","(5692,3953)","(5692,3876)"
JHI_FullSurvey_75m_Flight_01_00322.JPG,58.85315121441667,-137.0986426403889,0.9114871621131897,"(5603,3464)","(5603,3558)","(5639,3558)","(5639,3464)"
JHI_FullSurvey_75m_Flight_01_00322.JPG,58.85315121441667,-137.0986426403889,0.9177038669586182,"(3049,2554)","(3049,2590)","(3131,2590)","(3131,2554)"
JHI_FullSurvey_75m_Flight_01_00322.JPG,58.85315121441667,-137.0986426403889,0.8905037641525269,"(5277,2038)","(5277,2104)","(5306,2104)","(5306,2038)"
JHI_FullSurvey_75m_Flight_01_00322.JPG,58.85315121441667,-137.0986426403889,0.8970297574996948,"(4376,2137)","(4376,2168)","(4429,2168)","(4429,2137)"
JHI_FullSurvey_75m_Flight_01_00322.JPG,58.85315121441667,-137.0986426403889,0.9143136143684387,"(5546,3508)","(5546,3533)","(5608,3533)","(5608,3508)"
JHI_FullSurvey_75m_Flight_01_00322.JPG,58.85315121441667,-137.0986426403889,0.8950477838516235,"(3139,2536)","(3139,2599)","(3163,2599)","(3163,2536)"
JHI_FullSurvey_75m_Flight_01_00323.JPG,58.85336412463889,-137.09833106316668,0.8967537879943848,"(5859,695)","(5859,795)","(5897,795)","(5897,695)"
JHI_FullSurvey_75m_Flight_01_00323.JPG,58.85336412463889,-137.09833106316668,0.9158276915550232,"(2291,158)","(2291,206)","(2358,206)","(2358,158)"
JHI_FullSurvey_75m_Flight_01_00323.JPG,58.85336412463889,-137.09833106316668,0.9030827879905701,"(2035,1527)","(2035,1591)","(2067,1591)","(2067,1527)"
JHI_FullSurvey_75m_Flight_01_00323.JPG,58.85336412463889,-137.09833106316668,0.8911459445953369,"(5816,754)","(5816,788)","(5870,788)","(5870,754)"
JHI_FullSurvey_75m_Flight_01_00323.JPG,58.85336412463889,-137.09833106316668,0.9087472558021545,"(5529,3673)","(5529,3740)","(5556,3740)","(5556,3673)"
JHI_FullSurvey_75m_Flight_01_00324.JPG,58.85358070516667,-137.09803352016667,0.9276642203330994,"(1787,682)","(1787,773)","(1856,773)","(1856,682)"
JHI_FullSurvey_75m_Flight_01_00324.JPG,58.85358070516667,-137.09803352016667,0.9205825924873352,"(2579,2384)","(2579,2433)","(2642,2433)","(2642,2384)"
JHI_FullSurvey_75m_Flight_01_00324.JPG,58.85358070516667,-137.09803352016667,0.8393863439559937,"(1909,691)","(1909,767)","(1939,767)","(1939,691)"
JHI_FullSurvey_75m_Flight_01_00324.JPG,58.85358070516667,-137.09803352016667,0.8918904662132263,"(2271,3715)","(2271,3773)","(2299,3773)","(2299,3715)"
JHI_FullSurvey_75m_Flight_01_00337.JPG,58.85639215030556,-137.09407955350002,0.8640523552894592,"(4308,3780)","(4308,3865)","(4346,3865)","(4346,3780)"
JHI_FullSurvey_75m_Flight_01_00337.JPG,58.85639215030556,-137.09407955350002,0.9103103280067444,"(3290,3617)","(3290,3648)","(3378,3648)","(3378,3617)"
JHI_FullSurvey_75m_Flight_01_00337.JPG,58.85639215030556,-137.09407955350002,0.8565592169761658,"(4276,3799)","(4276,3864)","(4306,3864)","(4306,3799)"
JHI_FullSurvey_75m_Flight_01_00337.JPG,58.85639215030556,-137.09407955350002,0.9094783663749695,"(3297,3656)","(3297,3689)","(3349,3689)","(3349,3656)"
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,0.9192246794700623,"(2076,1963)","(2076,2035)","(2145,2035)","(2145,1963)"
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,0.9274346232414246,"(2495,2405)","(2495,2487)","(2554,2487)","(2554,2405)"
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,0.9222338795661926,"(2809,3007)","(2809,3088)","(2866,3088)","(2866,3007)"
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,0.900364339351654,"(4370,668)","(4370,753)","(4419,753)","(4419,668)"
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,0.9272041916847229,"(3133,3187)","(3133,3246)","(3179,3246)","(3179,3187)"
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,0.8931142091751099,"(4442,710)","(4442,750)","(4508,750)","(4508,710)"
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,0.9154905676841736,"(2093,1946)","(2093,1983)","(2153,1983)","(2153,1946)"
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,0.9234514236450195,"(2875,3041)","(2875,3099)","(2912,3099)","(2912,3041)"
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,0.8147225379943848,"(4440,708)","(4440,758)","(4479,758)","(4479,708)"
JHI_FullSurvey_75m_Flight_01_00360.JPG,58.85379185588889,-137.0958471008889,0.8808013200759888,"(2458,2396)","(2458,2418)","(2519,2418)","(2519,2396)"
JHI_FullSurvey_75m_Flight_01_00361.JPG,58.853573595250005,-137.0961547218889,0.91045743227005,"(4346,2857)","(4346,2932)","(4392,2932)","(4392,2857)"
JHI_FullSurvey_75m_Flight_01_00361.JPG,58.853573595250005,-137.0961547218889,0.9104279279708862,"(4419,2891)","(4419,2926)","(4481,2926)","(4481,2891)"
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,0.9188065528869629,"(2596,2337)","(2596,2448)","(2642,2448)","(2642,2337)"
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,0.9108486175537109,"(2215,981)","(2215,1082)","(2256,1082)","(2256,981)"
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,0.9184983968734741,"(2488,172)","(2488,218)","(2576,218)","(2576,172)"
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,0.93723464012146,"(2468,3030)","(2468,3105)","(2516,3105)","(2516,3030)"
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,0.9298693537712097,"(3275,432)","(3275,494)","(3329,494)","(3329,432)"
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,0.8951099514961243,"(3088,855)","(3088,957)","(3120,957)","(3120,855)"
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,0.9328944087028503,"(475,3591)","(475,3650)","(530,3650)","(530,3591)"
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,0.884748637676239,"(16,3911)","(16,3946)","(86,3946)","(86,3911)"
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,0.9100148677825928,"(2171,1014)","(2171,1057)","(2226,1057)","(2226,1014)"
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,0.8841825127601624,"(4117,123)","(4117,197)","(4144,197)","(4144,123)"
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,0.8920970559120178,"(2548,124)","(2548,187)","(2577,187)","(2577,124)"
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,0.887154757976532,"(3115,835)","(3115,885)","(3150,885)","(3150,835)"
JHI_FullSurvey_75m_Flight_01_00364.JPG,58.85292509758334,-137.09706351891668,0.8557054400444031,"(8,3877)","(8,3907)","(64,3907)","(64,3877)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.9226125478744507,"(1218,1309)","(1218,1394)","(1289,1394)","(1289,1309)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.9137667417526245,"(889,145)","(889,196)","(979,196)","(979,145)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.910186767578125,"(3874,628)","(3874,721)","(3921,721)","(3921,628)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.9044651985168457,"(2453,2368)","(2453,2417)","(2541,2417)","(2541,2368)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.9089663624763489,"(2176,3160)","(2176,3263)","(2216,3263)","(2216,3160)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.9315328598022461,"(1553,2095)","(1553,2160)","(1609,2160)","(1609,2095)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.9286826252937317,"(3228,2622)","(3228,2686)","(3282,2686)","(3282,2622)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.9141548871994019,"(1204,1298)","(1204,1358)","(1257,1358)","(1257,1298)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.9176498651504517,"(1878,1118)","(1878,1151)","(1974,1151)","(1974,1118)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.9006972908973694,"(3041,3036)","(3041,3133)","(3071,3133)","(3071,3036)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.904180109500885,"(4500,2143)","(4500,2223)","(4530,2223)","(4530,2143)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.912390947341919,"(4069,369)","(4069,446)","(4100,446)","(4100,369)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.9151659607887268,"(1101,438)","(1101,504)","(1135,504)","(1135,438)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.9108832478523254,"(4059,2328)","(4059,2409)","(4086,2409)","(4086,2328)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.909366250038147,"(2148,1189)","(2148,1236)","(2191,1236)","(2191,1189)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.8723840713500977,"(2131,3195)","(2131,3230)","(2184,3230)","(2184,3195)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.906786322593689,"(2513,2322)","(2513,2387)","(2541,2387)","(2541,2322)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.8859549760818481,"(3910,680)","(3910,724)","(3950,724)","(3950,680)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.9120264649391174,"(1921,1150)","(1921,1176)","(1983,1176)","(1983,1150)"
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,0.8912802934646606,"(3066,3020)","(3066,3067)","(3099,3067)","(3099,3020)"
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,0.9201197028160095,"(4877,82)","(4877,154)","(4991,154)","(4991,82)"
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,0.9220501184463501,"(3337,1441)","(3337,1517)","(3427,1517)","(3427,1441)"
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,0.9222228527069092,"(1167,3484)","(1167,3578)","(1231,3578)","(1231,3484)"
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,0.9073333740234375,"(838,2353)","(838,2407)","(929,2407)","(929,2353)"
