epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,3851.02,0.71021,0.36199,0.95178,0.96436,0.99174,0.99044,0.85171,0.64241,0.3142,0.9314,8.35e-05,8.35e-05,8.35e-05
52,3929.12,0.70162,0.35508,0.94059,0.97909,0.98072,0.99256,0.84692,0.67088,0.33035,0.94789,8.317e-05,8.317e-05,8.317e-05
53,4007.08,0.69505,0.35199,0.93876,0.98067,0.97857,0.99174,0.84658,0.66557,0.31659,0.94254,8.284e-05,8.284e-05,8.284e-05
54,4085.08,0.69107,0.34858,0.93309,0.96529,0.99602,0.99232,0.85247,0.65551,0.31903,0.91933,8.251e-05,8.251e-05,8.251e-05
55,4162.84,0.68751,0.35766,0.93325,0.96771,0.99069,0.99175,0.84675,0.66455,0.32843,0.94268,8.218e-05,8.218e-05,8.218e-05
56,4241.3,0.69292,0.34915,0.93895,0.97785,0.97301,0.99321,0.848,0.6802,0.32098,0.93384,8.185e-05,8.185e-05,8.185e-05
57,4318.95,0.68625,0.35217,0.93028,0.96773,0.9913,0.99297,0.85139,0.67712,0.33248,0.93852,8.152e-05,8.152e-05,8.152e-05
58,4397.03,0.67747,0.34343,0.92432,0.96255,0.99127,0.99283,0.84997,0.64207,0.325,0.92594,8.119e-05,8.119e-05,8.119e-05
59,4474.69,0.67363,0.34906,0.92421,0.98064,0.97666,0.99345,0.85147,0.65025,0.30776,0.91957,8.086e-05,8.086e-05,8.086e-05
60,4552.83,0.68804,0.35338,0.93396,0.96704,0.98623,0.9901,0.84838,0.65725,0.32598,0.93847,8.053e-05,8.053e-05,8.053e-05
61,4630.96,0.67297,0.34283,0.92494,0.97533,0.98623,0.99333,0.84596,0.68412,0.33452,0.94334,8.02e-05,8.02e-05,8.02e-05
62,4709.06,0.66359,0.34279,0.91886,0.97536,0.98347,0.99306,0.85446,0.64449,0.32118,0.9305,7.987e-05,7.987e-05,7.987e-05
63,4787.06,0.66628,0.34177,0.933,0.97811,0.98477,0.99105,0.84803,0.66152,0.33101,0.95258,7.954e-05,7.954e-05,7.954e-05
64,4864.85,0.66222,0.34245,0.9247,0.97236,0.98072,0.99316,0.85142,0.65769,0.32458,0.94687,7.921e-05,7.921e-05,7.921e-05
65,4942.47,0.65301,0.34242,0.91946,0.96244,0.98821,0.99327,0.85801,0.68526,0.32376,0.94911,7.888e-05,7.888e-05,7.888e-05
66,5020.63,0.64191,0.33236,0.92093,0.97483,0.98347,0.99196,0.85439,0.62889,0.31322,0.93484,7.855e-05,7.855e-05,7.855e-05
67,5098.42,0.64268,0.33429,0.91625,0.98058,0.9736,0.99256,0.84265,0.66353,0.32329,0.95371,7.822e-05,7.822e-05,7.822e-05
68,5176.38,0.64743,0.33128,0.91978,0.9754,0.98304,0.99154,0.84363,0.6689,0.31556,0.94385,7.789e-05,7.789e-05,7.789e-05
69,5254.3,0.64737,0.33398,0.91633,0.97015,0.98472,0.99198,0.84549,0.66696,0.32828,0.93097,7.756e-05,7.756e-05,7.756e-05
70,5332.53,0.63363,0.33011,0.9108,0.983,0.97796,0.99256,0.85258,0.66386,0.31635,0.93099,7.723e-05,7.723e-05,7.723e-05
71,5411.03,0.62566,0.32585,0.90514,0.97787,0.97393,0.99179,0.85445,0.65107,0.31048,0.9165,7.69e-05,7.69e-05,7.69e-05
72,5488.97,0.62331,0.32489,0.90774,0.9891,0.97796,0.9916,0.84635,0.65387,0.30916,0.94061,7.657e-05,7.657e-05,7.657e-05
73,5566.87,0.61744,0.32914,0.91349,0.97789,0.98347,0.99236,0.85058,0.66227,0.32686,0.938,7.624e-05,7.624e-05,7.624e-05
74,5645.02,0.61683,0.32066,0.91184,0.97424,0.98072,0.99279,0.85972,0.63083,0.3148,0.9306,7.591e-05,7.591e-05,7.591e-05
75,5723.01,0.619,0.32469,0.91131,0.97552,0.98791,0.99287,0.85012,0.65913,0.31683,0.93076,7.558e-05,7.558e-05,7.558e-05
76,5800.71,0.60858,0.32128,0.90299,0.98064,0.97671,0.99235,0.8489,0.67622,0.31709,0.93475,7.525e-05,7.525e-05,7.525e-05
77,5878.75,0.60471,0.31752,0.89944,0.96476,0.98898,0.991,0.83353,0.69503,0.32932,0.95381,7.492e-05,7.492e-05,7.492e-05
78,5956.74,0.60698,0.31762,0.90067,0.96745,0.98347,0.99274,0.85021,0.6591,0.31695,0.93294,7.459e-05,7.459e-05,7.459e-05
79,6034.48,0.59551,0.31777,0.89708,0.97793,0.97634,0.99294,0.84462,0.68483,0.3175,0.95304,7.426e-05,7.426e-05,7.426e-05
80,6112.88,0.5995,0.32251,0.9013,0.97085,0.98072,0.99169,0.85438,0.66088,0.31733,0.93351,7.393e-05,7.393e-05,7.393e-05
81,6191.06,0.59615,0.31392,0.89569,0.97536,0.98135,0.99238,0.85721,0.64897,0.30819,0.92177,7.36e-05,7.36e-05,7.36e-05
82,6269.04,0.60364,0.31876,0.90412,0.97145,0.97796,0.99198,0.8462,0.69216,0.33174,0.94414,7.327e-05,7.327e-05,7.327e-05
83,6346.93,0.60022,0.31705,0.90416,0.9829,0.98072,0.99193,0.85358,0.66495,0.31239,0.93675,7.294e-05,7.294e-05,7.294e-05
84,6425.01,0.59145,0.31441,0.89973,0.97292,0.98982,0.99276,0.84921,0.66616,0.3188,0.94611,7.261e-05,7.261e-05,7.261e-05
85,6503.16,0.58617,0.31411,0.89345,0.97278,0.98467,0.99143,0.8471,0.67492,0.31477,0.93103,7.228e-05,7.228e-05,7.228e-05
86,6581.91,0.58479,0.3103,0.89289,0.97424,0.98347,0.99046,0.84457,0.67907,0.32277,0.94784,7.195e-05,7.195e-05,7.195e-05
87,6660.23,0.589,0.3122,0.90012,0.97297,0.99148,0.9917,0.85722,0.65212,0.29793,0.9224,7.162e-05,7.162e-05,7.162e-05
88,6738.28,0.57666,0.31121,0.88929,0.97545,0.985,0.99182,0.84995,0.66614,0.31546,0.92625,7.129e-05,7.129e-05,7.129e-05
89,6815.86,0.57781,0.3029,0.88481,0.98081,0.98555,0.99286,0.85829,0.65487,0.31324,0.92315,7.096e-05,7.096e-05,7.096e-05
90,6893.72,0.58766,0.31332,0.89795,0.9794,0.98898,0.99187,0.85934,0.6427,0.30668,0.92997,7.063e-05,7.063e-05,7.063e-05
91,6971.77,0.56161,0.30215,0.88529,0.97545,0.98505,0.99256,0.85699,0.65683,0.30973,0.93497,7.03e-05,7.03e-05,7.03e-05
92,7049.79,0.56692,0.30526,0.8858,0.97543,0.9841,0.99177,0.85143,0.6506,0.30434,0.9271,6.997e-05,6.997e-05,6.997e-05
93,7127.49,0.56532,0.2992,0.88635,0.98261,0.98347,0.99227,0.84702,0.65715,0.30576,0.9341,6.964e-05,6.964e-05,6.964e-05
94,7205.53,0.55989,0.30049,0.88569,0.97824,0.99081,0.99215,0.85193,0.64523,0.29935,0.9435,6.931e-05,6.931e-05,6.931e-05
